ID,link_id,rfc,longitd,latitud,snowy,dailyGg,bsnTypN,basnTyp
02472000,18154237,LMRFC,-89.4053115844727,31.7020587921143,0,0,regular,3
02472850,18156447,LMRFC,-89.4318161010742,31.4839305877686,0,0,regular,3
02479300,18107248,LMRFC,-88.7734069824219,30.7345161437988,0,0,regular,3
02371500,2377281,SERFC,-86.2497406005859,31.5738201141357,0,0,regular,3
02349605,6444276,SERFC,-84.0432510375977,32.2869071960449,0,0,regular,3
02236500,16644086,SERFC,-81.7412338256836,28.4388542175293,0,0,regular,3
02247510,16687209,SERFC,-81.102668762207,29.2057991027832,0,0,regular,3
02310525,16928188,SERFC,-82.6011199951172,28.5276527404785,0,0,slow,1
02266480,21476576,SERFC,-81.6001663208008,28.2745838165283,0,0,regular,3
02266200,21477644,SERFC,-81.6139831542969,28.3883876800537,0,0,regular,3
02303350,166743841,SERFC,-82.3628845214844,28.1066341400146,0,0,regular,3
02326000,1978638,SERFC,-83.7736587524414,30.1802501678467,0,0,regular,3
02324400,1978648,SERFC,-83.471565246582,30.0993633270264,0,0,regular,3
02307359,166743866,SERFC,-82.6854934692383,28.1046123504639,0,0,regular,3
02300700,16918210,SERFC,-82.3486099243164,27.8007698059082,0,0,regular,3
02204130,6333958,SERFC,-84.0679397583008,33.5736618041992,0,0,regular,3
02297155,16812461,SERFC,-82.0171508789062,27.4757919311523,0,0,regular,3
02235200,10997161,SERFC,-81.5104293823242,28.9013843536377,0,0,regular,3
02298488,16837004,SERFC,-82.1396331787109,27.4296836853027,0,0,regular,3
02320700,2161828,SERFC,-82.2277145385742,29.8464431762695,0,0,regular,3
02300033,16877722,SERFC,-82.4284896850586,27.4189224243164,0,0,regular,3
02312200,16949670,SERFC,-82.1679611206055,28.5661430358887,0,0,regular,3
02228500,18258887,SERFC,-82.2301406860352,30.5170440673828,0,0,regular,3
02245500,16662855,SERFC,-81.8522262573242,29.9765434265137,0,0,regular,3
02299950,16877194,SERFC,-82.2140350341797,27.4673728942871,0,0,regular,3
02301990,16906283,SERFC,-82.189567565918,28.1784820556641,0,0,regular,3
02321000,2161384,SERFC,-82.2768936157227,29.9946155548096,0,0,regular,3
02208150,6330580,SERFC,-83.8898620605469,33.9204025268555,0,0,regular,3
02231342,11014543,SERFC,-80.7962036132812,27.5684795379639,0,0,regular,3
02207385,6330798,SERFC,-83.9898529052734,33.8148345947266,0,0,regular,3
02212600,6335902,SERFC,-83.7258377075195,33.0949363708496,0,0,regular,3
02216180,6383975,SERFC,-82.9258117675781,31.9931411743164,0,0,regular,3
02310947,16955670,SERFC,-82.0454635620117,28.3181190490723,0,0,regular,3
02303420,166743839,SERFC,-82.3866424560547,28.1671447753906,0,0,regular,3
02215100,6365072,SERFC,-83.5013809204102,32.2387199401855,0,0,regular,3
02299472,16838064,SERFC,-82.2261047363281,27.0654640197754,0,0,regular,3
02314500,1997544,SERFC,-82.5561218261719,30.6920833587647,0,0,regular,3
02296500,16806475,SERFC,-81.7876281738281,27.3787059783936,0,0,regular,3
02217475,1048487,SERFC,-83.5627975463867,34.0317077636719,0,0,regular,3
02221525,1056599,SERFC,-83.4854965209961,33.2550354003906,0,0,regular,3
02298123,16808187,SERFC,-81.7834930419922,27.0519218444824,0,0,regular,3
02219000,1050457,SERFC,-83.4675445556641,33.7775764465332,0,0,regular,3
