#
#
# US Geological Survey
# retrieved: 2024-08-07 14:11:58 EDT
# URL: https://nwis.waterdata.usgs.gov/nwis/uv
#
# The Site File stores location and general information about groundwater,
# surface water, and meteorological sites
# for sites in USA.
#
# The following selected fields are included in this output:
#
#  agency_cd       -- Agency
#  site_no         -- Site identification number
#  station_nm      -- Site name
#  site_tp_cd      -- Site type
#  dec_lat_va      -- Decimal latitude
#  dec_long_va     -- Decimal longitude
#  coord_acy_cd    -- Latitude-longitude accuracy
#  dec_coord_datum_cd -- Decimal Latitude-longitude datum
#  alt_va          -- Altitude of Gage/land surface
#  alt_acy_va      -- Altitude accuracy
#  alt_datum_cd    -- Altitude datum
#  huc_cd          -- Hydrologic unit code
#  drain_area_va   -- Drainage area
#
#
# query started 2024-08-07 14:11:58 EDT
#
# there are 195 sites matching the search criteria.
#
#
agency_cd	site_no	station_nm	site_tp_cd	dec_lat_va	dec_long_va	coord_acy_cd	dec_coord_datum_cd	alt_va	alt_acy_va	alt_datum_cd	huc_cd	drain_area_va
USGS	16274100	Kaneohe Str blw Kamehameha Hwy, Oahu, HI	ST	21.41180556	-157.79811100	5	NAD83	 34			20060000	5.22
USGS	16274950	Heeia Stream DS of Haiku Tunnel, Oahu, HI	ST	21.40667222	-157.83120830	H	NAD83	 460			20060000	0.29
USGS	16275000	Heeia Stream at Haiku Valley nr Kaneohe, Oahu, HI	ST	21.40920833	-157.82323060	S	NAD83	 271.9			20060000	0.96
USGS	16278500	Iolekaa Stream US of Heeia conf., Oahu, HI	ST	21.41819722	-157.82338600	H	NAD83	230			20060000	0.48
USGS	16279200	Heeia Stream at Haiku Plantations Dr., Oahu, HI	ST	21.41741667	-157.81638890	H	NAD83	130			20060000	
USGS	16283200	Kahaluu Str nr Ahuimanu, Oahu, HI	ST	21.43872222	-157.84386100	5	NAD83	 150			20060000	0.83
USGS	16283600	SF WAIHEE STR NR HEEIA, OAHU, HI	ST	21.44323056	-157.86725000	U	NAD83	 615.74			20060000	0.05
USGS	16283700	NF WAIHEE STREAM NR HEEIA, OAHU, HI	ST	21.44350833	-157.86891670	U	NAD83	 639			20060000	0.05
USGS	16284200	Waihee Str nr Kahaluu, Oahu, HI	ST	21.44816667	-157.85661100	R	NAD83	 170			20060000	0.97
USGS	16286000	Waiahole Tun Wwy at Intk 31 nr Waiahole, Oahu, HI	ST-DCH	21.47351110	-157.88447220	S	NAD83	 742.70			20060000	
USGS	16287000	Waiahole Tun at N Portal nr Waiahole, Oahu, HI	ST-DCH	21.46851110	-157.88836100	S	NAD83	 752.50			20060000	
USGS	16287200	Waiahole Tunnel at Adit 8 nr Waipahu, Oahu, HI	ST	21.44684444	-157.95558330	S	NAD83	 709.00			20060000	
USGS	16294100	Waiahole Stream above Kamehameha Hwy, Oahu, HI	ST	21.48202778	-157.84588890	S	NAD83	 14.0			20060000	3.81
USGS	16294900	Waikane Str at alt 75 ft at Waikane, Oahu, HI	ST	21.49708333	-157.86297220	S	NAD83	 75			20060000	2.24
USGS	16295300	Hakipuu Stream near Waikane, Oahu, HI	ST	21.50841667	-157.85488890	S	NAD83	 30			20060000	0.85
USGS	16296500	Kahana Str at alt 30 ft nr Kahana, Oahu, HI	ST	21.54061110	-157.88255560	S	NAD83	 30			20060000	3.73
USGS	16301050	Punaluu Str abv Punaluu Ditch Intake, Oahu, HI	ST	21.55638889	-157.89888890	S	NAD83	 212			20060000	2.77
USGS	16302000	Punaluu Ditch nr Punaluu, Oahu, HI	ST-DCH	21.55827778	-157.90030560	S	NAD83	 200			20060000	
USGS	16303000	Punaluu Str nr Punaluu, Oahu, HI	ST	21.55638889	-157.89888890	S	NAD83	 212			20060000	2.78
USGS	16304200	Kaluanui Stream nr Punaluu, Oahu, HI	ST	21.58611110	-157.90805560	S	NAD83	 110			20060000	1.09
USGS	16325000	Kamananui Str at Pupukea Mil Rd, Oahu, HI	ST	21.62055556	-158.01500000	S	NAD83	 590			20060000	3.15
USGS	16330000	Kamananui Str at Maunawai, Oahu, HI	ST	21.63547222	-158.05458330	5	NAD83	 20			20060000	12.35
USGS	16343100	Helemano Str at Joseph Leong Hwy, Haleiwa, Oahu,HI	ST	21.57868889	-158.10279440	S	NAD83	 2			20060000	
USGS	16345000	Opaeula Str nr Wahiawa, Oahu, HI	ST	21.56233333	-158.00025000	5	NAD83	 1120			20060000	3.00
USGS	16350100	Opaeula Str at Joseph Leong Hwy, Haleiwa, Oahu, HI	ST	21.58046110	-158.10260280	S	NAD83	 2			20060000	
USGS	16400000	Halawa Stream near Halawa, Molokai, HI	ST	21.15550000	-156.76197220	5	NAD83	 210.00			20050000	4.68
USGS	16403900	KAWAINUI STREAM NR PELEKUNU, MOLOKAI, HI	ST	21.12988056	-156.87445000	U	NAD83	 770			20050000	1.18
USGS	16405100	Molokai Tunnel at East Portal, Molokai, HI	ST-DCH	21.14071389	-156.91833060	S	NAD83	 989			20050000	
USGS	16405300	Molokai Tunnel at West Portal, Molokai, HI	ST-DCH	21.12100278	-156.99443330	S	NAD83	 970.00			20050000	
USGS	16405500	Waikolu Str at alt 900 ft nr Kalaupapa, Molokai,HI	ST	21.14210278	-156.91888600	S	NAD83	 900			20050000	2.03
USGS	16408000	Waikolu Str blw pipe nr Kalaupapa, Molokai, HI	ST	21.15932500	-156.92888890	S	NAD83	250			20050000	3.78
USGS	16409000	Waihanau Stream nr Kalaupapa, Molokai, HI	ST	21.15670833	-156.95815280	H	NAD83	 2250			20050000	1.3
USGS	16414200	Kaunakakai Gulch at altitude 75 feet, Molokai, HI	ST	21.09652778	-157.01786100	5	NAD83	 75			20050000	7.31
USGS	16415000	EF Kawela Gulch nr Kamalo, Molokai, HI	ST	21.10963610	-156.90332780	H	NAD83	 3624.86			20050000	0.44
USGS	16415600	Kawela Gulch near Moku, Molokai, HI	ST	21.06997222	-156.94833330	S	NAD83	 40			20050000	5.28
USGS	16417200	Kainalu Gulch nr Pauwalu, Molokai, HI	ST	21.09483889	-156.77866670	H	NAD83	 290			20050000	0.80
USGS	16417800	LB Honoulimaloo Str US diversion, Molokai, HI	ST	21.12803056	-156.75292780	H	NAD83	 730			20050000	0.46
USGS	16419500	Papio Gulch at Halawa, Molokai, HI	ST	21.14513889	-156.73482500	H	NAD83	640			20050000	0.99
USGS	16500800	Kukuiula Gulch near Kipahulu, Maui, HI	ST	20.65161110	-156.07588890	S	NAD83	 120			20020000	0.71
USGS	16501200	Oheo Gulch at dam near Kipahulu, Maui, HI	ST	20.66836110	-156.05222220	1	NAD83	 420			20020000	8.53
USGS	16508000	Hanawi Stream near Nahiku, Maui, HI	ST	20.80686110	-156.11422220	1	NAD83	 1318			20020000	3.29
USGS	16509000	HANAWI STREAM BL GOVT RD NR NAHIKU, MAUI, HI	ST	20.81760833	-156.10354440	U	NAD83	 500			20020000	5.03
USGS	16518000	West Wailuaiki Stream near Keanae, Maui, HI	ST	20.81436110	-156.14297220	1	NAD83	 1550			20020000	3.59
USGS	16521300	Waiokamilo Stream at Dam 3 near Keanae, Maui, HI	ST	20.84119444	-156.14288890	5	NAD83	 420			20020000	2.11
USGS	16522950	Piinaau Str 470 ft US Koolau Ditch, Maui, HI	ST	20.82719722	-156.17510280	1	NAD83	 1350			20020000	14.8
USGS	16527000	Honomanu Stream near Keanae, Maui, HI	ST	20.83132500	-156.18728890	S	NAD83	 1840			20020000	2.94
USGS	16527500	Honomanu Stream near Hana Hwy, Maui, HI	ST	20.85336110	-156.17033330	1	NAD83	 59			20020000	5.25
USGS	16536000	Haipuaena Stream abv Spreckels Ditch, Maui, HI	ST	20.84808333	-156.18855560	1	NAD83	 1512.22			20020000	1.21
USGS	16552800	Waikamoi Str abv Kula PL intake nr Olinda, Maui,HI	ST	20.80538889	-156.23122220	U	NAD83	 4487			20020000	2.50
USGS	16570000	Nailiilihaele Stream near Huelo, Maui, HI	ST	20.87111110	-156.21555560	S	NAD83	 1225			20020000	3.69
