#
#
# US Geological Survey
# retrieved: 2024-08-07 14:14:59 EDT
# URL: https://nwis.waterdata.usgs.gov/nwis/uv
#
# The Site File stores location and general information about groundwater,
# surface water, and meteorological sites
# for sites in USA.
#
# The following selected fields are included in this output:
#
#  agency_cd       -- Agency
#  site_no         -- Site identification number
#  station_nm      -- Site name
#  site_tp_cd      -- Site type
#  dec_lat_va      -- Decimal latitude
#  dec_long_va     -- Decimal longitude
#  coord_acy_cd    -- Latitude-longitude accuracy
#  dec_coord_datum_cd -- Decimal Latitude-longitude datum
#  alt_va          -- Altitude of Gage/land surface
#  alt_acy_va      -- Altitude accuracy
#  alt_datum_cd    -- Altitude datum
#  huc_cd          -- Hydrologic unit code
#  drain_area_va   -- Drainage area
#
#
# query started 2024-08-07 14:14:59 EDT
#
# there are 180 sites matching the search criteria.
#
#
agency_cd	site_no	station_nm	site_tp_cd	dec_lat_va	dec_long_va	coord_acy_cd	dec_coord_datum_cd	alt_va	alt_acy_va	alt_datum_cd	huc_cd	drain_area_va
USGS	50063800	RIO ESPIRITU SANTO NR RIO GRANDE, PR	ST	18.35791434	-65.81360780	S	NAD83	 40			21010005	8.62
USGS	50064200	RIO GRANDE NR EL VERDE, PR	ST	18.34341485	-65.84159140	S	NAD83	 131			21010005	7.31
USGS	50065500	RIO MAMEYES NR SABANA, PR	ST	18.32682210	-65.75042089	S	NAD83	 275			21010005	6.88
USGS	50066000	RIO MAMEYES AT MAMEYES, PR	ST	18.37217253	-65.76349630	S	NAD83	 16.4			21010005	13.41
USGS	50067000	RIO SABANA AT SABANA, PR	ST	18.32896945	-65.73061790	S	NAD83	 295			21010005	3.96
USGS	50070500	RIO FAJARDO ABV FAJARDO, PR	ST	18.27051105	-65.72127318	S	NAD83	 328			21010005	4.16
USGS	50070900	RIO FAJARDO AT PARAISO NR FAJARDO, PR	ST	18.28082470	-65.70067290	5	NAD83	 213			21010005	11.0
USGS	50071000	RIO FAJARDO NR FAJARDO, PR	ST	18.29696026	-65.69343400	S	NAD83	 136.0			21010005	14.9
USGS	50074950	QUEBRADA GUABA NR NAGUABO, PR	ST	18.28189887	-65.78849618	S	NAD83	 2100			21010005	0.06
USGS	50075000	RIO ICACOS NR NAGUABO, PR	ST	18.27523254	-65.78544060	S	NAD83	 2020			21010005	1.26
USGS	50075500	RIO BLANCO AT FLORIDA, PR	ST	18.23884539	-65.78460718	S	NAD83	 91.9			21010005	11
USGS	50076000	RIO BLANCO NR FLORIDA, PR	ST	18.22717929	-65.78460707	S	NAD83	 49.2			21010005	12.3
USGS	50081000	RIO HUMACAO AT LAS PIEDRAS, PR	ST	18.17207287	-65.86904630	5	NAD83	 262.57			21010005	6.65
USGS	50083500	RIO GUAYANES NR YABUCOA, PR	ST	18.05690857	-65.90071797	S	NAD83	 50.0			21010005	16.4
USGS	50085100	RIO GUAYANES AT CENTRAL ROIG, PR	ST	18.06440843	-65.87377327	S	NAD83	 32.8			21010005	26.2
USGS	50090500	RIO MAUNABO AT LIZAS, PR	ST	18.02524310	-65.93960740	S	NAD83	 230.0			21010005	5.38
USGS	50092000	RIO GRANDE DE PATILLAS NR PATILLAS, PR	ST	18.03218668	-66.03210880	S	NAD83	 235			21010004	18.3
USGS	50093000	RIO MARIN NR PATILLAS, PR	ST	18.03579773	-66.00933060	S	NAD83	 295.3			21010004	4.10
USGS	50093053	CANAL DE PATILLAS AT FOREBAY, PR	ST-CA	18.01885390	-66.02266408	S	NAD83				21010004	
USGS	50093075	CANAL DE PATILLAS ABV GUAYAMA FILTRATION PLANT, PR	ST-CA	17.98052185	-66.10072077	S	NAD83	 98			21010004	
USGS	50093078	CANAL DE PATILLAS BLW GUAYAMA FILTRATION PLANT, PR	ST-CA	17.98052185	-66.10099860	S	NAD83	 98			21010004	
USGS	50093083	CANAL DE PATILLAS ABV AES INTAKE AT GUAYAMA, PR	ST-CA	17.96774453	-66.13877709	S	NAD83	 98			21010004	
USGS	50093084	AES INTAKE CANAL AT CANAL DE PATILLAS, GUAYAMA, PR	ST-CA	17.96774453	-66.13877709	S	NAD83	 98			21010004	
USGS	50093085	CANAL DE PATILLAS BLW AES INTAKE AT GUAYAMA, PR	ST-CA	17.96746676	-66.13877709	S	NAD83	 98			21010004	
USGS	50093095	CANAL DE PATILLAS BLW EL LEGADO INTAKE, PR	ST-CA	17.97635510	-66.17961110	1	NAD83	 88.3			21010004	
